categoria,fecha,crimen,colonia,long,lat,Cluster,color
ROBO DE CELULAR CON VIOLENCIA,2016-01-07 13:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,LINDAVISTA,-99.13534699999992,19.4911829998335,516,Naranja
ROBO DE CELULAR CON VIOLENCIA,2016-01-08 20:40:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,ESTANZUELA,-99.11021499999993,19.4905969998329,585,Verde
ROBO DE CELULAR CON VIOLENCIA,2016-01-10 14:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,ESTRELLA,-99.1160499999999,19.4744629998336,661,Rojo
ROBO DE CELULAR CON VIOLENCIA,2016-01-13 12:20:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,ARBOLEDAS DE CUAUTEPEC EL ALTO,-99.1259969999999,19.559565999833,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2016-01-12 06:15:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,NUEVA ATZACOALCO,-99.087296,19.5014329998337,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2016-01-18 15:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,TEPEYAC INSURGENTES,-99.12037499999992,19.4820249998334,659,Naranja
ROBO DE CELULAR CON VIOLENCIA,2016-01-18 21:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,LA PRADERA,-99.065623,19.4743329998332,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2016-01-20 11:45:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,ZONA ESCOLAR ORIENTE,-99.14513599999992,19.5313909998336,-1,Rojo
ROBO DE CELULAR CON VIOLENCIA,2016-01-21 16:20:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,CUCHILLA DEL TESORO,-99.05816,19.4493039998336,60,Rojo
ROBO DE CELULAR CON VIOLENCIA,2016-01-19 21:40:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,AMPLIACION SAN JUAN DE ARAGON CTM,-99.05369899999992,19.4554209998333,51,Rojo
