categoria,fecha,crimen,colonia,long,lat,Cluster,color
ROBO EN METROBUS CV,2019-10-11 18:15:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,FERROCARRILERA,-99.09424,19.47768,-1,Rojo
ROBO EN METROBUS CV,2019-11-15 19:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,GRANJAS MODERNAS,-99.09766,19.479029999999998,42,Rojo
ROBO EN METROBUS CV,2019-12-28 18:15:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,LINDAVISTA,-99.12839,19.488870000000002,-1,Rojo
ROBO EN METROBUS CV,2019-02-11 07:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,GRANJAS MODERNAS,-99.1011,19.471,-1,Rojo
ROBO EN METROBUS CV,2019-05-18 14:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,TEPEYAC INSURGENTES,-99.12501999999999,19.48479,46,Rojo
ROBO EN METROBUS CV,2020-02-17 20:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,AMPLIACION PROVIDENCIA,-99.0721322002636,19.47663789745189,9,Rojo
ROBO EN METROBUS CV,2018-12-30 01:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,INDUSTRIAL,-99.1236611706142,19.47212625727261,4,Verde
ROBO EN METROBUS CV,2020-04-18 20:20:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,SAN PEDRO EL CHICO,-99.09717823471672,19.478530496935,42,Rojo
ROBO EN METROBUS CV,2020-03-27 21:15:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,SAN JUAN DE ARAGON VII SECCION,-99.070775697049,19.471547201012303,9,Rojo
ROBO EN METROBUS CV,2018-09-12 08:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,VALLEJO,-99.1366067157633,19.4696553088035,24,Rojo
ROBO EN METROBUS CV,2020-03-27 19:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,EL OLIVO,-99.0878300564296,19.4733855976853,29,Naranja
ROBO EN METROBUS CV,2019-01-25 18:30:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,AMPLIACION PANAMERICANA,-99.14039,19.47728,13,Naranja
ROBO EN METROBUS CV,2018-02-03 21:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,AMPLIACION MARTIRES DE RIO BLANCO,-99.10505804187628,19.461364689068,-1,Rojo
ROBO EN METROBUS CV,2019-07-10 08:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,SAN JUAN DE ARAGON VII SECCION,-99.07531,19.47985,9,Rojo
ROBO EN METROBUS CV,2019-06-05 07:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,RESIDENCIAL ZACATENCO,-99.11787,19.50158,38,Naranja
ROBO EN METROBUS CV,2019-05-11 12:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,SAN PEDRO EL CHICO,-99.09607,19.47813,41,Naranja
ROBO EN METROBUS CV,2019-09-11 10:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,LA PRADERA,-99.06976999999999,19.47437,9,Rojo
ROBO EN METROBUS CV,2019-05-15 08:20:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,SAN PEDRO EL CHICO,-99.0928,19.47695,-1,Rojo
ROBO EN METROBUS CV,2019-12-19 22:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,SAN PEDRO EL CHICO,-99.09607,19.47813,41,Naranja
ROBO EN METROBUS CV,2019-02-12 18:20:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,AMPLIACION PROVIDENCIA,-99.0726,19.47714,9,Rojo
ROBO EN METROBUS CV,2018-06-18 20:45:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,GRANJAS MODERNAS,-99.09751098713491,19.478692391354002,42,Rojo
ROBO EN METROBUS CV,2017-12-19 00:40:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,SAN JUAN DE ARAGON VI SECCION,-99.0626670222673,19.4641626712634,3,Rojo
ROBO EN METROBUS CV,2019-09-27 20:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,NUEVA ATZACOALCO,-99.08631,19.50698,-1,Rojo
ROBO EN METROBUS CV,2019-02-10 19:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,EL OLIVO,-99.08851,19.47466,29,Naranja
ROBO EN METROBUS CV,2019-07-10 07:25:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,TEPEYAC INSURGENTES,-99.12208000000001,19.48949,-1,Rojo
ROBO EN METROBUS CV,2016-08-27 18:38:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,SAN JOSE TICOMAN,-99.1324713999999,19.504918399833397,7,Verde
ROBO EN METROBUS CV,2019-05-04 06:30:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,SAN PEDRO EL CHICO,-99.09748,19.47896,42,Rojo
ROBO EN METROBUS CV,2019-06-28 20:35:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,RESIDENCIAL ZACATENCO,-99.12482,19.49919,28,Naranja
ROBO EN METROBUS CV,2020-02-26 00:30:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,NUEVA VALLEJO,-99.152905883077,19.4949153749921,18,Rojo
ROBO EN METROBUS CV,2018-09-13 17:00:00,ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,TEPEYAC INSURGENTES,-99.1256741634869,19.484526536735,46,Rojo
ROBO EN METROBUS SV,2018-01-20 16:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,VASCO DE QUIROGA,-99.09161914392321,19.494513832646398,12,Verde
ROBO EN METROBUS SV,2018-01-15 06:58:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,RESIDENCIAL ZACATENCO,-99.12209619961901,19.5002857029563,28,Naranja
ROBO EN METROBUS SV,2018-01-25 07:30:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,CONSTITUCION DE LA REPUBLICA,-99.1057057916782,19.4823018348432,34,Rojo
ROBO EN METROBUS SV,2018-02-22 15:00:00,ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,15 DE AGOSTO,-99.1071311456453,19.4828502692941,34,Rojo
